"Nickname", "Full form"
"Abbie","Abigail"
"Abby","Abigail"
"Gail","Abigail"
"Adah","Ada"
"Adio","Ada"
"Adabelle","Adabel"
"Addie","Adelaide"
"Addy","Adelaide"
"Adela","Adelaide"
"Adele","Adelaide"
"Elsa","Adelaide"
"Adela","Adeline"
"Adele","Adeline"
"Adelia","Adeline"
"Adaline","Adeline"
"Adalyne","Adeline"
"Adelina","Adeline"
"Adyline","Adeline"
"Adrienne","Adria"
"Adriana","Adria"
"Adriane","Adria"
"Aggie","Agnes"
"Agna","Agnes"
"Anese","Agnes"
"Inez","Agnes"
"Neysa","Agnes"
"Alcia","Alice"
"Alicia","Alice"
"Alisa","Alice"
"Allis","Alice"
"Alyce","Alice"
"Alys","Alice"
"Alyssa","Alice"
"Addy","Alice"
"Al","Alice"
"Alison","Alice"
"Alla","Alice"
"Allie","Alice"
"Alyda","Alida"
"Elida","Alida"
"Altheda","Althea"
"Mable","Amabel"
"Mabelle","Amabel"
"Manda","Amanda"
"Mandy","Amanda"
"Amalea","Amelia"
"Amalie","Amelia"
"Amelia","Amelia"
"Stacia","Anastasia"
"Stacie","Anastasia"
"Stacy","Anastasia"
"Andreana","Andrea"
"Angelina","Angela"
"Angeline","Angela"
"Angie","Angela"
"Angelica","Angela"
"Angelita","Angela"
"Angis","Angela"
"Anitra","Anita"
"Anita","Ann"
"Annette","Ann"
"Ana","Ann"
"Anie","Ann"
"Anna","Ann"
"Anne","Ann"
"Annie","Ann"
"Anny","Ann"
"Annye","Ann"
"Anahanner","Ann"
"Anetta","Ann"
"Anitra","Ann"
"Annica","Ann"
"Annice","Ann"
"Hannah","Ann"
"Namelia","Ann"
"Nan","Ann"
"Nana","Ann"
"Nancy","Ann"
"Nanelle","Ann"
"Nanetta","Ann"
"Nanette","Ann"
"Nanine","Ann"
"Nannette","Ann"
"Nanny","Ann"
"Nanon","Ann"
"Nanya","Ann"
"Nina","Ann"
"Ninette","Ann"
"Ninon","Ann"
"Tanya","Ann"
"Anabelle","Annabel"
"Tonia","Antonia"
"Tony","Antonia"
"Antoinette","Antonia"
"Netty","Antonia"
"Ardella","Ardelle"
"Ardene","Ardine"
"Aretta","Areta"
"Arette","Areta"
"Arlena","Arlene"
"Arleen","Arlene"
"Arleta","Arlene"
"Arlette","Arlene"
"Arline","Arlina"
"Erlina","Arlina"
"Erline","Arlina"
"Gussie","Augusta"
"Gusta","Augusta"
"Augustina","Augusta"
"Augustine","Augusta"
"Bab","Barbara"
"Babs","Barbara"
"Bea","Beatrice"
"Bee","Beatrice"
"Beatriaz","Beatrice"
"Beatrix","Beatrice"
"Beatriz","Beatrice"
"Beatryce","Beatrice"
"Betries","Beatrice"
"Trix","Beatrice"
"Trixy","Beatrice"
"Barnardina","Bernardine"
"Bernetta","Berneta"
"Bernette","Berneta"
"Burnice","Bernice"
"Berenice","Bernice"
"Berniece","Bernice"
"Bernyce","Bernice"
"Bianca","Blanche"
"Blanch","Blanche"
"Bonnie","Bonny"
"Camille","Camilla"
"Carrie","Caroline"
"Carry","Caroline"
"Carlen","Caroline"
"Carleen","Caroline"
"Cassandra","Cassie"
"Cass","Cassie"
"Cassy","Cassie"
"Cecil","Cecilia"
"Cecile","Cecilia"
"Cecily","Cecilia"
"Cicily","Cecilia"
"Sheila","Cecilia"
"Sheelah","Cecilia"
"Sisely","Cecilia"
"Cissy","Cecilia"
"Cis","Cecilia"
"Celeste","Celestine"
"Celesta","Celestine"
"Charlotte","Charlotta"
"Carlota","Charlotte"
"Carlotta","Charlotte"
"Lotta","Charlotte"
"Lotte","Charlotte"
"Lottie","Charlotte"
"Lotty","Charlotte"
"Charlotta","Charlotte"
"Carilla","Charlotte"
"Carletta","Charlotte"
"Carlita","Charlotte"
"Carol","Charlotte"
"Carola","Charlotte"
"Charlene","Charlotte"
"Charline","Charlotte"
"Carry","Charlotte"
"Loleta","Charlotte"
"Lola","Charlotte"
"Christa","Christina"
"Chrissie","Christina"
"Tina","Christina"
"Klara","Clara"
"Claira","Clara"
"Claire","Clara"
"Clare","Clara"
"Clarese","Clara"
"Clareta","Clara"
"Claretta","Clara"
"Clarette","Clara"
"Clarabelle","Clara"
"Claribel","Clara"
"Clarice","Clara"
"Clarinda","Clara"
"Clarine","Clara"
"Clarissa","Clara"
"Clarita","Clara"
"Clarentius","Clara"
"Claudette","Claudia"
"Claudina","Claudia"
"Claudine","Claudia"
"Connie","Constance"
"Constancia","Constance"
"Constantia","Constance"
"Constanza","Constance"
"Coralie","Coral"
"Coraline","Coral"
"Corinne","Corinna"
"Cora","Corinna"
"Coretta","Corinna"
"Corette","Corinna"
"Dina","Dinah"
"Deloris","Dolores"
"Delores","Dolores"
"Doralia","Dora"
"Dorelia","Dora"
"Doralis","Dora"
"Doralice","Dora"
"Dorcea","Dorcas"
"Dorcia","Dorcas"
"Dorice","Doris"
"Dorea","Doris"
"Doria","Doris"
"Dolly","Dorothea"
"Dot","Dorothea"
"Dottie","Dorothea"
"Dotty","Dorothea"
"Dora","Dorothea"
"Eadie","Edith"
"Edie","Edith"
"Edita","Edith"
"Editha","Edith"
"Edyth","Edith"
"Edytha","Edith"
"Edythe","Edith"
"Ardith","Edith"
"Ede","Edith"
"Edla","Edlyn"
"Bessie","Elizabeth"
"Beth","Elizabeth"
"Betsie","Elizabeth"
"Betsy","Elizabeth"
"Bett","Elizabeth"
"Bess","Elizabeth"
"Betsey","Elizabeth"
"Bette","Elizabeth"
"Bettie","Elizabeth"
"Betty","Elizabeth"
"Eliza","Elizabeth"
"Libby","Elizabeth"
"Lizzie","Elizabeth"
"Elizabeth","Elizabeth"
"Elizabetta","Elizabeth"
"Elsabet","Elizabeth"
"Elsbeth","Elizabeth"
"Elspeth","Elizabeth"
"Elzabeth","Elizabeth"
"Bettins","Elizabeth"
"Bettine","Elizabeth"
"Elce","Elizabeth"
"Elise","Elizabeth"
"Elisia","Elizabeth"
"Elissa","Elizabeth"
"Elize","Elizabeth"
"Elsa","Elizabeth"
"Elsie","Elizabeth"
"Helsa","Elizabeth"
"Lisa","Elizabeth"
"Lisabet","Elizabeth"
"Lisabetta","Elizabeth"
"Lisabette","Elizabeth"
"Lisbet","Elizabeth"
"Lise","Elizabeth"
"Lisetta","Elizabeth"
"Liza","Elizabeth"
"Lizetta","Elizabeth"
"Lizette","Elizabeth"
"Sisette","Elizabeth"
"Ellah","Ella"
"Ellie","Ella"
"Elly","Ella"
"Elladine","Ella"
"Ellette","Ella"
"Emilia","Emily"
"Emilie","Emily"
