WMC,UTA,UTW
"Aberdeen North Burgh Constituency","Aberdeen City Council",Donmouth
,,Newhills
,,Auchmill
,,"Cummings Park"
,,Springhill
,,Mastrick
,,Sheddocksley
,,Summerhill
,,Hilton
,,Woodside
,,"St. Machar"
,,Seaton
,,Kittybrewster
,,Stockethill
,,Berryden
,,Sunnybank
,,Pittodrie
,,Midstocket
,,Castlehill
"Aberdeen South Burgh Constituency","Aberdeen City Council","Queens Cross"
,,Gilcomston
,,Langstane
,,Hazlehead
,,Peterculter
,,Murtle
,,Cults
,,Seafield
,,Ashley
,,Broomhill
,,Garthdee
,,Gairn
,,Duthie
,,Torry
,,"Tullos Hill"
,,"Kincorth West"
,,Nigg
,,Loirston
"Banff and Buchan County Constituency","Aberdeenshire Council",Durn
,,"Banff West and Boyndie"
,,Banff
,,Aberchirder
,,Macduff
,,"Gamrie King Edward"
,,"Buchan North"
,,"Fraserburgh West"
,,"Fraserburgh North"
,,"Fraserburgh East"
,,"Fraserburgh South"
,,"Buchan North East"
,,"South Buchan"
,,"Central Buchan"
,,"Lonmay and St Fergus"
,,"Mintlaw Old Deer"
,,"Mintlaw Longside"
,,"Boddam Inverugie"
,,Blackhouse
,,Buchanhaven
,,"Peterhead Central Roanheads"
,,Clerkhill
,,"Dales Towerhill"
,,Cruden
,,"Turriff West"
,,"Turriff East"
,,"Upper Ythan"
,,"Fyvie Methlick"
"Gordon County Constituency","Aberdeenshire Council",Tarves
,,Ythan
,,"Ellon Town"
,,"Logie Buchan"
,,Meldrum
,,Udny-Slains
,,Belhelvie
,,Insch
,,"Chapel and Gadie"
,,"Inverurie North"
,,"Inverurie Central"
,,"Inverurie South and Port Elphinstone"
,,"Kintore and Keithhall"
,,"Newmachar and Fintray"
,,"Huntly West"
,,"Huntly East"
,,Strathbogie
,"Aberdeen City Council",Pitmedden
,,Bankhead/Stoneywood
,,Danestone
,,Jesmond
,,Oldmachar
,,"Bridge of Don"
"West Aberdeenshire and Kincardine County Constituency","Aberdeenshire Council",*
"Angus County Constituency","Angus Council","Kirriemuir West"
,,"Kirriemuir East"
,,"Brechin West"
,,"Brechin North Esk"
,,"Westfield and Dean"
,,"Forfar West"
,,"Forfar Central"
,,"Forfar East"
,,"Brechin South Esk"
,,"Montrose Ferryden"
,,"Montrose Central"
,,"Montrose West"
,,"Montrose Hillside"
,,"Forfar South"
,,"Letham and Friockheim"
,,"Arbirlot and Hospitalfield"
,,Keptie
,,"Arbroath North"
,,Brothock
,,"Hayshead and Lunan"
,,Harbour
,,Cliffburn
"Dundee East Burgh Constituency","Angus Council","Sidlaw East and Ashludie"
,,"Monifieth West"
,,"Monifieth Central"
,,"Carnoustie West"
,,"Carnoustie Central"
,,"Carnoustie East"
,"Dundee City Council",Claverhouse
,,Whitfield
,,Longhaugh
,,Pitkerro
,,Douglas
,,Barnhill
,,Balgillo
,,"Broughty Ferry"
,,"West Ferry"
,,Craigiebank
,,"East Port"
,,"Baxter Park"
"Dundee West Burgh Constituency","Angus Council","Sidlaw West"
,"Dundee City Council",*
"Argyll and Bute County Constituency","Argyll and Bute Council",*
"Ochil and South Perthshire County Constituency","Perth and Kinross Council",Comrie
,,"Crieff North"
,,"Crieff South"
,,"Strathord and Logiealmond"
,,Strathalmond
,,Earn
,,"Auchterarder Mid Earn"
,,"Strathallan and Glendevon"
,,"Auchterarder Craig Rossie"
,,"Abernethy and Glenfarg"
,,"Milnathort and North Kinross"
,,"Kinross Town"
,,Kinross-shire
,"Clackmannashire Council",*
"Perth and North Perthshire County Constituency","Perth and Kinross Council",*
"Na h-Eileanan an Iar County Constituency","Na h-Eileanan an Iar Council",*
"Berwickshire, Roxburgh and Selkirk County Constituency","Scottish Borders Council",*
"Dumfries and Galloway County Constituency","Dumfries and Galloway Council",*
"Dumfriesshire, Clydesdale and Tweeddale County Constituency","Scottish Borders Council","Innerleithen and Walkerburn"
,,"Peebles and District South"
,,"Peebles and District East"
,,"Peebles and Upper Tweed"
,,"West Linton and District"
,"Dumfries and Galloway Council","Sanquhar and District"
,,Kirkconnel
,,"Mid Nithsdale"
,,"Nithsdale East"
,,Caerlaverock
,,"Hoddom and Kinmount"
,,"Annan West"
,,"Annan Central"
,,"Annan East"
,,Chapelcross
,,"Solway Border"
,,"Canonbie and Kirtle"
,,"Langholm and Upper Eskdale"
,,"Dryfe and Lockerbie East"
,,"Lockerbie and Upper Annandale"
,,Lochmaben
,,Moffat
,"South Lanarkshire Council","Biggar/Symington and Black Mount"
,,Duneaton/Carmichael
,,Douglas
"East Kilbride, Strathaven and Lesmahagow County Constituency","South Lanarkshire Council",Lesmahagow
,,Blackwood
,,"Long Calderwood"
,,Calderglen
,,Blacklaw
,,Morrishall
,,Maxwellton
,,"East Mains"
,,"West Mains"
,,Duncanrig
,,Westwoodhill
,,Headhouse
,,Heatheryknowe
,,Greenhills
,,Whitehills
,,Hairmyres/Crosshouse
,,Mossneuk/Kittoch
,,Stewartfield
,,Lindsay
,,"Avondale North"
,,"Avondale South"
,,Stonehouse
"Lanark and Hamilton East County Constituency","South Lanarkshire Council","Lanark North"
,,"Lanark South"
,,"Clyde Valley"
,,Carstairs/Carnwath
,,Carluke/Whitehill
,,Carluke/Crawforddyke
,,Forth
,,Law/Carluke
,,"Hamilton Centre North"
,,Whitehill
,,"Bothwell South"
,,"Uddingston South/Bothwell"
,,Uddingston
,,"Hamilton Centre/Ferniegair"
,,"Low Waters"
,,Silvertonhill
,,Cadzow
,,Dalserf
,,"Larkhall East"
,,"Larkhall West"
,,"Larkhall South"
"Midlothian County Constituency","Midlothian Council",*
"Rutherglen and Hamilton West Burgh Constituency","South Lanarkshire Council",*
"Ayr, Carrick and Cumnock County Constituency","East Ayrshire Council","Drongan, Stair and Rankinston"
,,"Ochiltree, Skares, Netherthird and Craigens"
,,"Cumnock West"
,,"Cumnock East"
,,"Patna and Dalrymple"
,,Dalmellington
,,"New Cumnock"
,"South Ayrshire Council","Ayr Newton"
,,"Ayr Lochside"
,,"Ayr Whitletts"
,,"Ayr Craigie"
,,"Ayr Central"
,,"Ayr Fort"
,,"Ayr Old Belmont"
,,"Ayr Forehill"
,,"Ayr Masonhill"
,,"Ayr Belmont"
,,"Ayr Doonfoot and Seafield"
,,"Ayr Rozelle"
,,"Coylton and Minishant"
,,"North Carrick and Maybole West"
,,"North Carrick and Maybole East"
,,"South Carrick"
,,"Girvan Ailsa"
,,"Girvan Glendoune"
"Central Ayrshire County Constituency","North Ayrshire Council","Irvine West"
,,"Irvine Townhead"
,,"Irvine Vineburgh and Woodlands South"
,,"Irvine North"
,,"Eglinton and Lawthorn"
,,Dreghorn
,,"Irvine Landward"
,,Bourtreehill
,,"Woodlands North and Girdle Toll"
,"South Ayrshire Council",*
"Kilmarnock and Loudon County Constituency","East Ayrshire Council",*
"North Ayrshire and Arran County Constituency","North Ayrshire Council",*
"Airdrie and Shotts County Constituency","North Lanarkshire Council",Newmains
,,Stane
,,Dykehead
,,Benhar
,,Holytown
,,Newarthill
,,Whinhall
,,Academy
,,"Airdrie Central"
,,Clarkston
,,"New Monkland West"
,,"Plains and Caldercruix"
,,"North Cairnhill and Coatdyke"
,,"South East Cairnhill and Gartlea"
,,"Craigneuk and Petersburn"
,,Calderbank
,,Chapelhall
,,Salsburgh
"Coatbridge, Chryston and Bellshill Burgh Constituency","North Lanarkshire Council",Tannochside
,,Fallside
,,Viewpark
,,"Bellshill North"
,,Hattonrig
,,Townhead
,,Blairpark
,,"North Central and Glenboig"
,,"Coatbridge Central"
,,"Sikeside and Carnbroe"
,,"Bargeddie and Langloan"
,,Kirkwood
,,Kirkshaws
,,Shawhead
,,"Old Monkland"
,,"Moodiesburn East and Blackwood West"
,,"Moodiesburn West and Gartcosh"
,,"Chryston and Auchinloch"
,,Stepps
